ZIP,EV Network,Latitude,Longitude
12308,EV Connect,42.819693,-73.924193
12047,LIVINGSTON,42.763613,-73.749493
13676,ChargePoint Network,44.66277,-74.998241
14623,Tesla Destination,43.086754,-77.610599
13115,EV Connect,43.396956,-76.472884
11378,EV Connect,40.717426,-73.920236
12144,ChargePoint Network,42.607573,-73.719919
14845,Tesla Destination,42.162052,-76.873535
14020,EV Connect,43.016226,-78.137984
11797,ChargePoint Network,40.807074,-73.488735
11553,ChargePoint Network,40.725338,-73.593701
14513,ChargePoint Network,43.0489,-77.09397
12866,ChargePoint Network,43.1058,-73.7493
12801,ChargePoint Network,43.296477,-73.643996
12534,ChargePoint Network,42.249016,-73.78465
14072,ChargePoint Network,43.011199,-78.968177
14127,ChargePoint Network,42.779479,-78.781172
14210,ChargePoint Network,42.875091,-78.847557
12065,ChargePoint Network,42.865037,-73.782471
12480,ChargePoint Network,42.117025,-74.409617
14750,Non-Networked,42.102039,-79.325406
12414,Non-Networked,42.224533,-73.855761
14623,ChargePoint Network,43.066135,-77.646545
11772,ChargePoint Network,40.780024,-72.980834
11530,ChargePoint Network,40.719626,-73.650022
14127,ChargePoint Network,42.779421,-78.781313
11702,ChargePoint Network,40.63372,-73.333663
10708,ChargePoint Network,40.942715,-73.83444
12504,EV Connect,42.020108,-73.907296
10506,ChargePoint Network,41.197058,-73.644729
12776,Tesla,41.930457,-74.908814
13812,ChargePoint Network,42.024254,-76.41074
14485,EV Connect,42.90552,-77.610606
11101,Tesla Destination,40.747653,-73.942313
11430,ChargePoint Network,40.645841,-73.779222
10019,Blink Network,40.764655,-73.9761
11374,Tesla Destination,40.729133,-73.855355
14864,Non-Networked,42.250834,-76.838332
10003,EV Connect,40.729483,-73.988368
11702,ChargePoint Network,40.63372,-73.333732
12180,ChargePoint Network,42.735123,-73.68809
14075,ChargePoint Network,42.771831,-78.796294
10530,Electrify America,41.032196,-73.787087
12814,ChargePoint Network,43.557083,-73.64522
12029,ChargePoint Network,42.411575,-73.44864
12804,ChargePoint Network,43.343451,-73.6857
12804,ChargePoint Network,43.329655,-73.66528
14604,ChargePoint Network,43.157718,-77.606969
14870,Tesla,42.170757,-77.108063
12804,ChargePoint Network,43.355152,-73.65409
13057,ChargePoint Network,43.090446,-76.08658
14228,ChargePoint Network,43.001813,-78.788469
14202,EV Connect,42.889784,-78.874463
10305,ChargePoint Network,40.572636,-74.08614
10010,Tesla Destination,40.743961,-73.989912
13601,ChargePoint Network,43.992703,-75.932701
11738,ChargePoint Network,40.844415,-73.055372
13164,EV Connect,43.09253,-76.31896
12211,ChargePoint Network,42.68139,-73.768394
11219,ChargePoint Network,40.638531,-73.99858
12054,ChargePoint Network,42.60735,-73.84772
12065,ChargePoint Network,42.845337,-73.80796
11554,ChargePoint Network,40.705143,-73.546936
10003,Tesla Destination,40.734817,-73.989198
14617,ChargePoint Network,43.201918,-77.574566
12866,ChargePoint Network,43.08555,-73.765625
13413,ChargePoint Network,43.092865,-75.31666
10025,Blink Network,40.795783,-73.973678
12866,ChargePoint Network,43.087484,-73.795458
11040,Tesla Destination,40.769686,-73.688986
11101,FLO,40.755417,-73.923072
12110,ChargePoint Network,42.767352,-73.812499
14621,ChargePoint Network,43.192753,-77.58572
10314,Volta,40.582763,-74.167812
11790,ChargePoint Network,40.914369,-73.125742
12993,ChargePoint Network,44.193295,-73.42691
12047,ChargePoint Network,42.781513,-73.705635
14870,Tesla Destination,42.149988,-77.108033
11788,EV Connect,40.819636,-73.204528
11763,eVgo Network,40.807079,-72.954544
11354,Tesla Destination,40.756893,-73.834158
13478,ChargePoint Network,43.122227,-75.59269
11354,Tesla Destination,40.762206,-73.830022
12144,ChargePoint Network,42.65268,-73.696239
12205,ChargePoint Network,42.722447,-73.800636
13326,ChargePoint Network,42.700018,-74.926284
11790,ChargePoint Network,40.912355,-73.125968
12561,Tesla,41.743818,-74.070079
10576,ChargePoint Network,41.190993,-73.553184
10514,ChargePoint Network,41.155498,-73.774256
10003,Tesla Destination,40.728137,-73.992393
12571,ChargePoint Network,41.987163,-73.880399
14886,ChargePoint Network,42.541251,-76.661435
10940,ChargePoint Network,41.441845,-74.366816
13850,ChargePoint Network,42.095855,-75.963216
12561,ChargePoint Network,41.742651,-74.084086
14617,ChargePoint Network,43.209982,-77.598466
10467,FLO,40.882337,-73.880265
12997,ChargePoint Network,44.359129,-73.858775
14510,EV Connect,42.718547,-77.86958
12207,ChargePoint Network,42.649236,-73.756103
13904,Electrify America,42.101293,-75.836339
12866,ChargePoint Network,43.087137,-73.79215
12010,ChargePoint Network,42.948505,-74.17899
13694,EV Connect,44.863388,-75.202879
11777,EV Connect,40.93961,-73.053579
12561,ChargePoint Network,41.74775,-74.06456
13617,Tesla Destination,44.596265,-75.149319
10012,Tesla Destination,40.729372,-73.999217
14607,ChargePoint Network,43.151985,-77.600943
10022,Blink Network,40.762199,-73.969557
14626,ChargePoint Network,43.190998,-77.70397
12205,ChargePoint Network,42.729499,-73.85334
13090,ChargePoint Network,43.184548,-76.238194
14701,Blink Network,42.11647,-79.25277
14621,ChargePoint Network,43.191585,-77.588747
12203,ChargePoint Network,42.68476,-73.868251
12866,ChargePoint Network,43.105885,-73.74933
10026,Tesla Destination,40.801497,-73.94792
12205,ChargePoint Network,42.729741,-73.851066
10014,Tesla Destination,40.738222,-74.005908
11367,EV Connect,40.735874,-73.815819
12504,ChargePoint Network,42.023436,-73.902037
12210,ChargePoint Network,42.654384,-73.752844
12110,ChargePoint Network,42.768475,-73.82226
14456,Non-Networked,42.870128,-76.977625
11372,Tesla Destination,40.755829,-73.880211
12993,EV Connect,44.185836,-73.435501
11530,ChargePoint Network,40.719618,-73.649987
11217,Tesla Destination,40.689411,-73.978741
10044,ChargePoint Network,40.75533,-73.95569
12165,ChargePoint Network,42.323037,-73.545487
12180,ChargePoint Network,42.732209,-73.671332
12601,ChargePoint Network,41.704765,-73.927376
10708,ChargePoint Network,40.942543,-73.83441
14424,ChargePoint Network,42.886636,-77.279259
12211,ChargePoint Network,42.71577,-73.7495
10025,FLO,40.789958,-73.966488
12180,ChargePoint Network,42.741852,-73.682174
14609,ChargePoint Network,43.195304,-77.566518
12054,ChargePoint Network,42.6074,-73.872826
11201,Tesla Destination,40.702769,-73.990584
12308,EV Connect,42.85265,-73.939268
14203,ChargePoint Network,42.901642,-78.867333
11772,ChargePoint Network,40.768195,-73.02437
10035,ChargePoint Network,40.7923,-73.92468
14569,ChargePoint Network,42.740624,-78.133705
11954,Tesla Destination,41.002726,-72.031415
12110,ChargePoint Network,42.74551,-73.77077
11787,ChargePoint Network,40.855212,-73.173585
14020,EV Connect,43.011032,-78.19706
11222,FLO,40.724591,-73.954512
10013,ChargePoint Network,40.720654,-74.011216
10016,Tesla Destination,40.74733,-73.984857
10105,Tesla Destination,40.76351,-73.979364
10514,EV Connect,41.159228,-73.773508
12020,ChargePoint Network,43.010703,-73.864368
13340,ChargePoint Network,43.076151,-75.169179
11360,ChargePoint Network,40.778036,-73.780899
12814,ChargePoint Network,43.55702,-73.64512
14456,EV Connect,42.856272,-77.00023
12522,Blink Network,41.742215,-73.582737
12189,ChargePoint Network,42.733166,-73.727295
10016,Tesla Destination,40.743382,-73.974251
12866,ChargePoint Network,43.09355,-73.755474
12845,ChargePoint Network,43.429993,-73.71186
10003,Tesla Destination,40.73099,-73.990963
10514,EV Connect,41.159024,-73.773454
12047,ChargePoint Network,42.778606,-73.70292
12009,ChargePoint Network,42.7149,-73.935085
12446,ChargePoint Network,41.730037,-74.234883
14006,EV Connect,42.635801,-78.987905
12065,ChargePoint Network,42.866646,-73.777957
13202,ChargePoint Network,43.048931,-76.149033
11215,ChargePoint Network,40.674884,-73.989524
14731,Non-Networked,42.283144,-78.669294
14612,ChargePoint Network,43.258197,-77.69913
12110,ChargePoint Network,42.71731,-73.74937
12065,ChargePoint Network,42.860939,-73.771285
11968,Tesla Destination,40.89539,-72.388254
10065,Tesla Destination,40.763564,-73.960236
12853,ChargePoint Network,43.671232,-74.007635
12047,ChargePoint Network,42.781666,-73.705376
14623,EV Connect,43.095208,-77.575899
10591,ChargePoint Network,41.061411,-73.862829
10541,EV Connect,41.375328,-73.726893
10022,ChargePoint Network,40.758358,-73.9597
14094,Non-Networked,43.128557,-78.696197
12205,LIVINGSTON,42.68856,-73.773489
10001,Tesla Destination,40.749666,-74.005485
13601,ChargePoint Network,43.99481,-75.90173
12188,FLO,42.782254,-73.696148
12983,ChargePoint Network,44.326862,-74.13015
10520,ChargePoint Network,41.208506,-73.8875
10022,SemaCharge Network,40.761398,-73.974613
14850,ChargePoint Network,42.439069,-76.510104
10901,ChargePoint Network,41.11209,-74.13656
11101,Tesla Destination,40.742713,-73.959323
12204,ChargePoint Network,42.67623,-73.73344
13316,ChargePoint Network,43.50478,-75.70047
10155,ChargePoint Network,40.761134,-73.968346
14222,Non-Networked,42.932067,-78.88137
13478,ChargePoint Network,43.117188,-75.59616
12901,ChargePoint Network,44.695385,-73.50472
11590,ChargePoint Network,40.739353,-73.60072
13021,ChargePoint Network,42.91832,-76.54498
13204,Non-Networked,43.053474,-76.163547
14214,ChargePoint Network,42.951141,-78.822487
14623,ChargePoint Network,43.08615,-77.673358
12568,EV Connect,41.577842,-74.085424
12205,Tesla,42.710356,-73.819109
10471,ChargePoint Network,40.908654,-73.905897
10065,Tesla Destination,40.777545,-73.958471
13088,EV Connect,43.114421,-76.214145
10901,ChargePoint Network,41.115119,-74.1537
14221,ChargePoint Network,42.964084,-78.687654
14485,EV Connect,42.905519,-77.611086
14150,ChargePoint Network,43.000068,-78.91095
12302,ChargePoint Network,42.867961,-73.928284
13021,Non-Networked,42.966894,-76.535879
10022,ChargePoint Network,40.75824,-73.95967
10471,ChargePoint Network,40.90872,-73.905883
11231,ChargePoint Network,40.671397,-74.011643
12180,ChargePoint Network,42.806995,-73.545339
11211,Blink Network,40.709168,-73.968491
12485,ChargePoint Network,42.195133,-74.13242
14701,EV Connect,42.097522,-79.242525
